Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Watertown,MA,1,17,7,,,,,
Arlington,MA,6,10,9,,,,,
Arlington Heights,MA,3,11,15,,,,,
Arlington,MA,2,10,9,,,,,
Watertown,MA,2,17,7,,,,,
Belmont,MA,9,10,10,,,,,
Waverley,MA,5,18,9,,,,,
Wellesley Hills,MA,11,17,9,,,,,
Wellesley,MA,3,16,14,,,,,
Needham,MA,13,15,8,,,,,
Weston,MA,7,16,10,,,,,
Needham,MA,3,15,8,,,,,
Nonantum,MA,19,17,9,,,,,
Buzzards Bay,MA,19,17,13,,,,,
Cataumet,MA,25,16,8,,,,,
Chilmark,MA,20,16,13,,,,,
East Falmouth,MA,24,20,14,,,,,
East Sandwich,MA,15,19,12,,,,,
East Wareham,MA,9,19,10,,,,,
Edgartown,MA,30,19,10,,,,,
Falmouth,MA,23,20,14,,,,,
Falmouth,MA,1,20,14,,,,,
Buzzards Bay,MA,8,17,13,,,,,
Woods Hole,MA,20,23,11,,,,,
Menemsha,MA,22,17,15,,,,,
Monument Beach,MA,18,16,8,,,,,
Nantucket,MA,16,16,14,,,,,
North Falmouth,MA,20,14,15,,,,,
Oak Bluffs,MA,27,14,14,,,,,
Onset,MA,20,16,12,,,,,
Pocasset,MA,18,16,10,,,,,
Sagamore,MA,27,7,15,,,,,
Sagamore Beach,MA,9,8,9,,,,,
Sandwich,MA,18,7,15,,,,,
Siasconset,MA,20,7,13,,,,,
Silver Beach,MA,12,8,12,,,,,
Vineyard Haven,MA,18,15,9,,,,,
Wareham,MA,14,11,13,,,,,
Vineyard Haven,MA,2,15,9,,,,,
West Falmouth,MA,23,15,9,,,,,
West Tisbury,MA,15,18,12,,,,,
West Wareham,MA,10,18,9,,,,,
Nantucket,MA,14,16,14,,,,,
Hyannis,MA,18,8,15,,,,,
Barnstable,MA,16,10,13,,,,,
Brewster,MA,19,14,13,,,,,
Centerville,MA,27,17,11,,,,,
Chatham,MA,18,17,11,,,,,
Centerville,MA,2,17,11,,,,,
Cotuit,MA,24,16,9,,,,,
Centerville,MA,2,17,11,,,,,
Cummaquid,MA,15,17,14,,,,,
Dennis,MA,23,20,9,,,,,
Dennis Port,MA,9,21,13,,,,,
East Dennis,MA,19,21,6,,,,,
Eastham,MA,12,20,12,,,,,
East Orleans,MA,12,18,7,,,,,
Forestdale,MA,21,21,11,,,,,
Harwich,MA,25,25,12,,,,,
Harwich Port,MA,8,26,14,,,,,
Hyannis Port,MA,9,9,13,,,,,
Marstons Mills,MA,19,16,7,,,,,
Mashpee,MA,12,17,10,,,,,
North Chatham,MA,20,16,13,,,,,
North Eastham,MA,9,16,13,,,,,
North Truro,MA,19,16,10,,,,,
Orleans,MA,22,15,9,,,,,
Osterville,MA,20,16,7,,,,,
Provincetown,MA,19,7,9,,,,,
South Chatham,MA,15,10,10,,,,,
South Dennis,MA,9,10,13,,,,,
South Harwich,MA,12,10,13,,,,,
South Orleans,MA,14,9,9,,,,,
South Wellfleet,MA,10,9,9,,,,,
South Yarmouth,MA,8,10,14,,,,,
Truro,MA,23,12,10,,,,,
Wellfleet,MA,18,17,13,,,,,
West Barnstable,MA,15,17,9,,,,,
West Chatham,MA,15,16,14,,,,,
West Dennis,MA,9,16,12,,,,,
West Harwich,MA,12,15,12,,,,,
